序号,资料编号,规则名称,文件标题,发布机构,采集来源机构,发布日期,文号,省份,原始适用范围,市场主题,来源类型,权威等级,有效状态,是否原文,原文链接,本地文本路径,备注
1,AUTO-20260424-2ABE953CDD,电力市场注册基本规则,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,是,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,国家能源局电力市场注册基本规则
2,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,国家发展改革委;国家能源局,中国政府网,2022-01-30,,全国,全国,电力市场;中长期;现货;辅助服务;省间交易,官方政策,A,现行有效,是,https://www.gov.cn/zhengce/zhengceku/2022-01/30/content_5671296.htm,03_处理后文本\2022-01-30_全国_国家发展改革委_国家能源局_国家发展改革委_国家能源局关于加快建设全国统一电力市场体系的指导意见_国务院部门文件_中国政府网.txt,加快建设全国统一电力市场体系指导意见
3,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,电力市场运行基本规则_国家发展和改革委员会,国家发展改革委,中国政府网,2024-04-18,国家发展改革委令第20号,全国,全国,电力市场,官方政策,A,现行有效,是,https://www.gov.cn/zhengce/202405/content_6951254.htm,03_处理后文本\2024-04-18_全国_国家发展改革委_电力市场运行基本规则_国家发展和改革委员会_中国政府网.txt,电力市场运行基本规则
4,AUTO-20260424-55178B2DFC,省间电力现货交易规则,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),国家发展改革委,国家发展改革委,2026-04-24,发改办体改〔2026〕275号,全国,全国,电力市场;现货;省间交易,官方政策,A,现行有效,是,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202604/t20260424_1404861.html,03_处理后文本\2026-04-24_全国_国家发展改革委_【关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号)】-国家发展和改革委员会.txt,修订省间电力现货交易规则复函
5,AUTO-20260424-97CB3F74FC,华中区域省间电力中长期市场实施细则,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,国家能源局华中监管局,国家能源局华中监管局,2026-04-09,,重庆;江西;河南;湖北;湖南;四川;西藏,华中区域,中长期;省间交易,监管规则,A,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260409_299361.html,03_处理后文本\2026-04-09_华中区域_国家能源局华中监管局_国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知.txt,华中区域省间电力中长期市场实施细则
6,AUTO-20260424-663B4D5B07,湖北省电力中长期市场实施细则,关于印发《湖北省电力中长期市场实施细则》的通知,国家能源局华中监管局,国家能源局华中监管局,2026-04-14,,湖北,湖北,中长期,监管规则,A,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299623.html,03_处理后文本\2026-04-14_湖北_国家能源局华中监管局_关于印发《湖北省电力中长期市场实施细则》的通知.txt,湖北省电力中长期市场实施细则
7,AUTO-20260424-674A18FA03,山东电力市场规则(试行),关于印发《山东电力市场规则(试行)》的通知,国家能源局山东监管办公室,国家能源局山东监管办公室,2025-12-17,鲁监能市场规〔2025〕57号,山东,山东,电力市场,监管规则,A,现行有效,是,https://sdb.nea.gov.cn/dtyw/tzgg/202512/t20251217_292527.html,03_处理后文本\2025-12-17_山东_国家能源局山东监管办公室_关于印发《山东电力市场规则(试行)》的通知_国家能源局山东监管办公室.txt,山东电力市场规则试行版
8,AUTO-20260424-08F5111897,山东省电力并网运行管理实施细则;山东省电力辅助服务管理实施细则,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知,国家能源局山东监管办公室,国家能源局山东监管办公室,2026-01-06,鲁监能市场规〔2025〕63号,山东,山东,辅助服务;并网运行,监管规则,A,现行有效,是,https://sdb.nea.gov.cn/dtyw/tzgg/202601/t20260106_293691.html,03_处理后文本\2026-01-06_山东_国家能源局山东监管办公室_关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知_国家能源局山东监管办公室.txt,山东省电力并网运行与辅助服务管理实施细则修订稿
9,AUTO-20260424-E89DAD0775,南方区域电力市场中长期电能量交易实施细则等5项实施细则,南方区域电力市场中长期电能量交易实施细则等5项实施细则,广州电力交易中心,广州电力交易中心,2025-06-22,,广东;广西;海南;贵州;云南,南方区域,电力市场;中长期,交易规则,A,现行有效,是,https://www.gzpec.cn/law/jygz/202506/t20250624_34712.html,03_处理后文本\2025-06-22_南方区域_广州电力交易中心_广州电力交易中心.txt,南方区域电力市场中长期电能量交易实施细则等5项实施细则；OCR文本待人工复核
10,AUTO-20260425-54244C417B,电力辅助服务市场基本规则,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),国家发展改革委;国家能源局,国家发展改革委,2025-04-29,发改能源规〔2025〕411号,全国,全国,辅助服务;电力市场,官方政策,A,现行有效,是,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202504/t20250429_1397483.html,03_处理后文本\2025-04-29_全国_国家发展改革委_国家能源局_【关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号)】-国家发展和改革委员会.txt,国家发展改革委 国家能源局关于印发《电力辅助服务市场基本规则》的通知
11,AUTO-20260425-D49D5FABE6,重庆市电力中长期市场实施细则,关于印发《重庆市电力中长期市场实施细则》的通知,国家能源局派出机构,国家能源局华中监管局,2026-04-14,,重庆,华中区域,中长期,监管规则,B,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299624.html,03_处理后文本\2026-04-14_华中区域_国家能源局派出机构_关于印发《重庆市电力中长期市场实施细则》的通知.txt,关于印发《重庆市电力中长期市场实施细则》的通知 2026-04-14
12,AUTO-20260425-712572408D,西藏自治区电力中长期市场实施细则,关于印发《西藏自治区电力中长期市场实施细则》的通知,国家能源局派出机构,国家能源局华中监管局,2026-04-14,,西藏,华中区域,中长期,监管规则,B,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299625.html,03_处理后文本\2026-04-14_华中区域_国家能源局派出机构_关于印发《西藏自治区电力中长期市场实施细则》的通知.txt,关于印发《西藏自治区电力中长期市场实施细则》的通知 2026-04-14
13,AUTO-20260425-A74926FCBF,江西省电力中长期市场实施细则,关于印发《江西省电力中长期市场实施细则》的通知,国家能源局派出机构,国家能源局华中监管局,2026-04-14,,江西,华中区域,中长期,监管规则,B,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299627.html,03_处理后文本\2026-04-14_华中区域_国家能源局派出机构_关于印发《江西省电力中长期市场实施细则》的通知.txt,关于印发《江西省电力中长期市场实施细则》的通知 2026-04-14
14,AUTO-20260425-9A3E9D6FC0,山东电力市场监管办法(征求意见稿),关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知,国家能源局派出机构,国家能源局山东监管办公室,2026-03-27,,山东,山东,电力市场,监管规则,B,征求意见,是,https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260327_298703.html,03_处理后文本\2026-03-27_山东_国家能源局派出机构_关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知_国家能源局山东监管办公室.txt,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知 2026-03-27
15,AUTO-20260425-01719E4565,山东电力市场规则(试行),关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,国家能源局派出机构,国家能源局山东监管办公室,2026-03-17,,山东,山东,电力市场,监管规则,B,征求意见,是,https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260317_298055.html,03_处理后文本\2026-03-17_山东_国家能源局派出机构_关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知_国家能源局山东监管办公室.txt,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2026-03-17
16,AUTO-20260425-D5F253F0B2,重庆市支持智能网联新能源商用产业发展政策措施（2025—2027年）,关于印发重庆市支持智能网联新能源商用产业发展政策措施（2025—2027年）的通知,重庆市经济和信息化委员会,重庆市经济和信息化委员会,2025-12-30,渝经信规范〔2025〕13号,重庆,重庆,新能源,官方政策,A,现行有效,是,https://jjxxw.cq.gov.cn/zwgk_213/zcwj/xzgfxwj/202512/t20251230_15280986.html,03_处理后文本\2025-12-30_重庆_重庆市经济和信息化委员会_重庆市经济和信息化委员会行政规范性文件.txt,重庆市经济和信息化委员会 重庆市财政局 中共重庆市委金融委员会办公室 国家金融监督管理总局重庆监管局 重庆市商务委员会关于印发重庆市支持智能网联新能源商用产业发展政策措施（2025—2027年）的通知 (发文字号：渝经信规范〔2025〕13号成文日期 ：2025年12月30日)
17,AUTO-20260425-509BB407AE,关于下达天津市2023-2024年度电力需求响应资金计划,关于下达天津市2023-2024年度电力需求响应资金计划的通知_委局文件_政务公开,天津市工业和信息化局,天津市工业和信息化局,2025-12-11,津工信电力〔2025〕13号,天津,天津,需求响应,官方政策,A,现行有效,是,https://gyxxh.tj.gov.cn/ZWGK4147/ZCWJ6355/wjwj/202512/t20251211_7197066.html,03_处理后文本\2025-12-11_天津_天津市工业和信息化局_关于下达天津市2023-2024年度电力需求响应资金计划的通知_委局文件_政务公开.txt,关于下达天津市2023-2024年度电力需求响应资金计划的通知2025-12-11
18,AUTO-20260425-474CF655D0,四川省深化新能源上网电价市场化改革实施方案,关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号),四川省发展和改革委员会,四川省发展和改革委员会,2025-09-30,川发改价格〔2025〕480号,四川,四川,新能源,官方政策,A,现行有效,是,https://fgw.sc.gov.cn/sfgw/qtwj/2025/9/30/7ba86d11a51442df97eb0ad3b14865c2.shtml,03_处理后文本\2025-09-30_四川_四川省发展和改革委员会_四川省发展和改革委员会.txt,关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号)
