抓取批次,候选编号,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,文档类型,质量分,入库状态,建议动作,原文链接,来源列表页
20260502_020427,CAND-ABF8F264A533,SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于印发《上海市绿色电力交易实施方案》的通知,,电力交易,HTML,62,新增候选,建议回填待采集,http://fgw.sh.gov.cn/fgw_ny/20241017/a747867686704cccabc12e3e46956f27.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_12.html
20260502_020427,CAND-70D4C9F4D73B,SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于印发《上海市配电网升级改造三年行动计划 （2023－2025年）实施方案》的通知,,电网;配电网,HTML,62,新增候选,建议回填待采集,http://fgw.sh.gov.cn/fgw_ny/20230201/ae09ea0f7995432182a70ec5560c70dc.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_24.html
20260502_020427,CAND-8F611517B8FC,SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于印发《上海市新型电力系统调节能力奖励资金管理办法》的通知,,新型电力系统,HTML,58,新增候选,建议回填待采集,http://fgw.sh.gov.cn/fgw_gfxwj/20250519/463852516eb64060b6962fb68c2b75fb.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_7.html
20260502_020427,CAND-35862D6B8493,SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于转发《国家发展改革委关于第三监管周期省级电网输配电价及有关事项的通知》的通知,,输配电价;电网,HTML,58,新增候选,建议回填待采集,http://fgw.sh.gov.cn/fgw_jggl/20230526/4b9fb8e9b852473899c791b22367bcbc.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_22.html
20260502_020427,CAND-1C89E2775E37,SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于转发《国家发展改革委办公厅 国家能源局综合司关于加快推进电力现货市场建设工作的通知》的通知,,现货,HTML,58,新增候选,建议回填待采集,http://fgw.sh.gov.cn/fgw_ny/20230406/da7dcd044fc34ff8b8d65f6ebc2d0e04.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_30.html
20260502_020427,CAND-25191CE6EBA7,SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于转发《国家能源局关于印发<坚强局部电网规划建设实施方案>的通知》的通知,,电网;电网规划,HTML,58,新增候选,建议回填待采集,http://fgw.sh.gov.cn/fgw_ny/20211101/b9687ba107154c23918e939d19434be7.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_39.html
20260502_020427,CAND-570F289F2B2E,SRC-P-033,省级,内蒙古自治区,内蒙古自治区能源局-通知公告,内蒙古自治区能源局,内蒙古自治区能源局 国家能源局华北监管局 内蒙古自治区发展改革委关于蒙西电力现货市场由试运行转入正式运行的通知,,现货,HTML,58,新增候选,建议回填待采集,https://nyj.nmg.gov.cn/slh/tz/202502/t20250224_2671670.html,https://nyj.nmg.gov.cn/slh/tz/index_23.html
20260502_020427,CAND-7ECF6F91DA55,SRC-P-033,省级,内蒙古自治区,内蒙古自治区能源局-通知公告,内蒙古自治区能源局,内蒙古自治区能源局 自治区工业和信息化厅关于印发《内蒙古自治区蒙西电网需求侧响应实施细则（1.0版）》的通知,,实施细则;电网,HTML,58,新增候选,建议回填待采集,https://nyj.nmg.gov.cn/slh/tz/202209/t20220905_2123928.html,https://nyj.nmg.gov.cn/slh/tz/index_32.html
20260502_020427,CAND-80D4ECD388D5,SRC-MU-002,直辖市,北京,北京市经济和信息化局-政策文件,北京市经济和信息化局,北京市经济和信息化局关于印发《北京市新型储能产业发展实施方案（2024—2027年）》的通知,,新型储能,HTML,58,新增候选,建议回填待采集,https://jxj.beijing.gov.cn/zwgk/2024zcwj/202412/t20241205_3957632.html,https://jxj.beijing.gov.cn/zwgk/2024zcwj/index_8.html
20260502_020427,CAND-5CD4474B0A15,SRC-P-002,省级,广东,广东省能源局-通知公告,广东省能源局,广东省发展改革委 广东省能源局转发关于进一步推动新型储能参与电力市场和调度运用和“十四五”新型储能发展实施方案的通知06-24,,电力市场;新型储能,HTML,58,新增候选,建议回填待采集,https://drc.gd.gov.cn/snyj/tzgg/content/post_3956651.html,https://drc.gd.gov.cn/snyj/tzgg/mindex_40.html
